iter	RMSE
0	31.02153452
1	30.21001066
2	29.38811341
3	28.5794705
4	27.81137401
5	27.06507451
6	26.34926566
7	25.66631085
8	24.98582033
9	24.32190668
10	23.67865372
11	23.06437528
12	22.45506682
13	21.858178
14	21.2869628
15	20.72621319
16	20.1804438
17	19.64680664
18	19.13696187
19	18.64009311
20	18.16358134
21	17.69529023
22	17.25176841
23	16.80729082
24	16.38380058
25	15.96473517
26	15.57265093
27	15.18845729
28	14.80507882
29	14.44166934
30	14.08483005
31	13.75675328
32	13.41699438
33	13.09315588
34	12.77321298
35	12.47115814
36	12.17348506
37	11.88412693
38	11.60656382
39	11.33581178
40	11.0610237
41	10.80105877
42	10.54783639
43	10.30810605
44	10.07047549
45	9.846644119
46	9.623822663
47	9.413595368
48	9.203446987
49	9.000734358
50	8.805301102
51	8.620304472
52	8.431262979
53	8.247842803
54	8.072536415
55	7.902932879
56	7.736815353
57	7.580064768
58	7.426850577
59	7.277755132
60	7.132271037
61	6.993637383
62	6.854232527
63	6.724585317
64	6.592795114
65	6.466523538
66	6.346866303
67	6.232854366
68	6.116885537
69	6.007103047
70	5.903595738
71	5.803940369
72	5.707933604
73	5.608285147
74	5.517181902
75	5.430112798
76	5.344836511
77	5.25995407
78	5.179436789
79	5.102217183
80	5.022025928
81	4.948127809
82	4.8744435
83	4.80651827
84	4.740282731
85	4.676444058
86	4.611631634
87	4.552025048
88	4.491600531
89	4.434696232
90	4.382288139
91	4.330888479
92	4.277118259
93	4.227461349
94	4.175859531
95	4.128993464
96	4.082261356
97	4.036000079
98	3.99289814
99	3.952944188
100	3.912661652
101	3.870711725
102	3.833287128
103	3.796322586
104	3.762602768
105	3.724730491
106	3.691377851
107	3.66099231
108	3.630472299
109	3.598568318
110	3.570361571
111	3.542051946
112	3.515493573
113	3.487705333
114	3.461599656
115	3.433406484
116	3.407833587
117	3.383921877
118	3.360162922
119	3.337256401
120	3.316222201
121	3.294687193
122	3.270996206
123	3.249619289
124	3.229928651
125	3.210358252
126	3.187908346
127	3.166149661
128	3.144659707
129	3.124856518
130	3.106926572
131	3.088661345
132	3.070789457
133	3.053019538
134	3.034169728
135	3.018422685
136	3.003097649
137	2.987661282
138	2.968661904
139	2.953864725
140	2.938470341
141	2.925355716
142	2.909395857
143	2.894660224
144	2.87776817
145	2.865589984
146	2.852747699
147	2.837946435
148	2.823630101
149	2.809769489
150	2.79492854
151	2.783143833
152	2.769542269
153	2.759136474
154	2.749474874
155	2.73722438
156	2.724356499
157	2.713010163
158	2.702451152
159	2.69266511
160	2.678598605
161	2.664482116
162	2.654035512
163	2.641559793
164	2.632633304
165	2.622374268
166	2.611562798
167	2.603086659
168	2.593714921
169	2.581404797
170	2.572327846
171	2.564228529
172	2.554277679
173	2.544916414
174	2.534435924
175	2.523490028
176	2.515146361
177	2.504398298
178	2.49685967
179	2.486591154
180	2.47861174
181	2.472270346
182	2.465259907
183	2.453930853
184	2.444162687
185	2.435708865
186	2.426664951
187	2.418856707
188	2.410735829
189	2.403038705
190	2.393945478
191	2.387176499
192	2.378740176
193	2.371340066
194	2.362154593
195	2.354111161
196	2.350118576
197	2.343667901
198	2.339340186
199	2.334783622
200	2.327730325
201	2.319198558
202	2.311918249
203	2.305001311
204	2.29934928
205	2.290029615
206	2.282922062
207	2.278235079
208	2.270914671
209	2.263494871
210	2.257544021
211	2.252321194
212	2.246872048
213	2.240785132
214	2.235541364
215	2.231263749
216	2.226606415
217	2.222482738
218	2.216827845
219	2.21199439
220	2.20557928
221	2.201875139
222	2.194621515
223	2.188612489
224	2.184281934
225	2.179949
226	2.174124519
227	2.168312981
228	2.163884965
229	2.158303299
230	2.154574625
231	2.150571841
232	2.147670291
233	2.141485447
234	2.136322921
235	2.130991505
236	2.125699749
237	2.120733383
238	2.114801831
239	2.110558667
240	2.108122805
241	2.103001347
242	2.097023219
243	2.090975063
244	2.084857838
245	2.081972568
246	2.0761322
247	2.072386518
248	2.065962881
249	2.061483449
250	2.056354924
251	2.053212692
252	2.047862941
253	2.042958411
254	2.040693449
255	2.035747444
256	2.032390498
257	2.029002178
258	2.023646088
259	2.019332891
260	2.013593013
261	2.007293167
262	2.002462836
263	1.998622218
264	1.996390206
265	1.994193147
266	1.991110125
267	1.987432655
268	1.983765388
269	1.978679702
270	1.97547528
271	1.972916859
272	1.970499536
273	1.965445101
274	1.962069665
275	1.957977905
276	1.95606148
277	1.954118223
278	1.951161194
279	1.94569714
280	1.940982799
281	1.935627497
282	1.931286246
283	1.928780287
284	1.92412793
285	1.921892102
286	1.918003399
287	1.912403191
288	1.909214085
289	1.90521921
290	1.902435973
291	1.897940341
292	1.895143245
293	1.892596317
294	1.890417517
295	1.887991747
296	1.883649213
297	1.87940761
298	1.87673271
299	1.872849263
300	1.86819355
301	1.863232155
302	1.859595504
303	1.854838143
304	1.851781528
305	1.84774822
306	1.843940452
307	1.841066299
308	1.83798513
309	1.834617995
310	1.831727876
311	1.829820728
312	1.828708632
313	1.824332183
314	1.821785731
315	1.817915142
316	1.813800711
317	1.810823536
318	1.807380062
319	1.80397564
320	1.800041034
321	1.796762521
322	1.794080708
323	1.791697363
324	1.788686302
325	1.786477704
326	1.784408767
327	1.779139798
328	1.775874401
329	1.772291084
330	1.769864759
331	1.76591149
332	1.763854956
333	1.762967916
334	1.76212237
335	1.759565575
336	1.756401781
337	1.752477452
338	1.749139285
339	1.745304022
340	1.742472951
341	1.741571321
342	1.739049904
343	1.737954162
344	1.737259738
345	1.733241463
346	1.729014699
347	1.726371522
348	1.724522146
349	1.722345867
350	1.7180838
351	1.714145788
352	1.711907568
353	1.708933099
354	1.70674081
355	1.704980533
356	1.701267188
357	1.698995185
358	1.696437289
359	1.692256719
360	1.691197637
361	1.687835252
362	1.685269148
363	1.681644114
364	1.678077489
365	1.674890937
366	1.673334683
367	1.670051619
368	1.666300055
369	1.663856761
370	1.659805989
371	1.657330624
372	1.65634891
373	1.654111439
374	1.650693126
375	1.647736137
376	1.643901704
377	1.64173649
378	1.640408323
379	1.638602216
380	1.635470936
381	1.631485446
382	1.629270961
383	1.626735153
384	1.623484635
385	1.622183154
386	1.619606181
387	1.618639227
388	1.617717498
389	1.615138236
390	1.613821249
391	1.610640303
392	1.610144523
393	1.60700177
394	1.60424828
395	1.600960491
396	1.599550249
397	1.598739881
398	1.596909773
399	1.594365775
400	1.591531884
401	1.588913121
402	1.586955914
403	1.584659292
404	1.582537493
405	1.579846113
406	1.57746456
407	1.574736142
408	1.572454312
409	1.569539921
410	1.566761293
411	1.563434112
412	1.561329189
413	1.559585691
414	1.55778186
415	1.555699682
416	1.553502141
417	1.551511507
418	1.548778539
419	1.547243879
420	1.545621109
421	1.542239691
422	1.53918157
423	1.535717618
424	1.533983467
425	1.532254174
426	1.529904099
427	1.527630488
428	1.524734341
429	1.522557339
430	1.521001467
431	1.518083377
432	1.516020623
433	1.513302949
434	1.510892382
435	1.507972908
436	1.506146726
437	1.504036031
438	1.501068672
439	1.500074421
440	1.498002772
441	1.496309948
442	1.495329972
443	1.49333728
444	1.491676566
445	1.490935006
446	1.488821797
447	1.486442432
448	1.483626672
449	1.48042616
450	1.477388824
451	1.475357135
452	1.473157335
453	1.472548412
454	1.470833792
455	1.46803885
456	1.466626806
457	1.465679239
458	1.462906961
459	1.460048981
460	1.459517516
461	1.458332681
462	1.45646912
463	1.453978852
464	1.451138475
465	1.44954198
466	1.447203424
467	1.44527786
468	1.442760622
469	1.440962879
470	1.438265247
471	1.43698419
472	1.43432893
473	1.433088544
474	1.431108044
475	1.429724025
476	1.428294755
477	1.426896997
478	1.424921026
479	1.422516853
480	1.420418828
481	1.418413032
482	1.416350526
483	1.414591385
484	1.413872663
485	1.412510434
486	1.410816734
487	1.408218218
488	1.406796569
489	1.404283955
490	1.401966377
491	1.399395163
492	1.396233897
493	1.394537131
494	1.391927528
495	1.39015356
496	1.389571208
497	1.38753268
498	1.387157243
499	1.385632557
500	1.384837792
501	1.383430696
502	1.381928297
503	1.379739736
504	1.378161208
505	1.37559026
506	1.373636022
507	1.372108849
508	1.370555836
509	1.36882268
510	1.36742142
511	1.365433672
512	1.364255723
513	1.363429048
514	1.362792414
515	1.360676606
516	1.358905571
517	1.357242794
518	1.354627169
519	1.353759578
520	1.351263698
521	1.349980771
522	1.348676106
523	1.347407872
524	1.34663423
525	1.344704297
526	1.343257939
527	1.342422967
528	1.341190659
529	1.34024734
530	1.339145976
531	1.337485691
532	1.336584421
533	1.335950866
534	1.334169434
535	1.331788106
536	1.330614323
537	1.329167911
538	1.327644003
539	1.326064991
540	1.324739544
541	1.323026311
542	1.321610686
543	1.32025557
544	1.318728733
545	1.316270804
546	1.314264282
547	1.3134866
548	1.312040569
549	1.310902696
550	1.309446216
551	1.307793988
552	1.305980764
553	1.304534407
554	1.302340049
555	1.300613906
556	1.299438765
557	1.297993704
558	1.296707064
559	1.295272356
560	1.294831469
561	1.292900165
562	1.292111195
563	1.290357105
564	1.288364489
565	1.286547621
566	1.285429441
567	1.283993508
568	1.282103249
569	1.280734314
570	1.278519787
571	1.277252627
572	1.276278095
573	1.275468328
574	1.272922856
575	1.271460162
576	1.270926068
577	1.269764845
578	1.267959611
579	1.266652742
580	1.266077543
581	1.265001355
582	1.26359081
583	1.261720221
584	1.260179958
585	1.258391395
586	1.257560801
587	1.255788856
588	1.254871825
589	1.253720098
590	1.25195227
591	1.250652766
592	1.25010774
593	1.248196895
594	1.246319366
595	1.244880783
596	1.243051881
597	1.24182419
598	1.240559294
599	1.239656294
