model,MAE,RMSE,R2,MedAE,MAPE_%,Explained_Variance,Training_Time_s
Weighted Ensemble,0.456,0.799,0.9988,0.303,0.44,0.9988,
LightGBM (Tuned),0.485,0.854,0.9986,0.325,0.47,0.9986,11.16
XGBoost (Tuned),0.49,0.87,0.9986,0.321,0.47,0.9986,23.46
XGBoost,0.506,0.867,0.9986,0.332,0.49,0.9986,21.6
LightGBM,0.541,0.935,0.9984,0.359,0.52,0.9984,7.06
Random Forest (Tuned),0.593,1.021,0.998,0.372,0.57,0.998,200.8
Random Forest,0.598,1.048,0.9979,0.372,0.57,0.9979,140.54
Extra Trees,0.624,1.042,0.998,0.399,0.6,0.998,46.73
CatBoost,1.04,1.553,0.9955,0.709,0.99,0.9955,37.88
Baseline: Naive Persistence,1.679,4.583,0.8888,1.0,1.92,0.8888,
Baseline: Seasonal Persistence (t-24h),8.417,12.154,0.2177,6.0,10.38,0.2177,
LSTM,100.889,103.502,-19.0606,95.775,96.75,0.0,54.62
